owner_name,business_name,business_website,yelp_website,phone_number,review_rating,number_of_reviews,business_categories,reviews
Sean H.,Altitude Agency Denver 2,altitudeagency.com,https://www.yelp.com/biz/altitude-agency-denver-2?osq=marketing&override_cta=Request+a+consultation,(303) 500-5836,5.0,3,"['Web Design', 'Marketing', 'Advertising']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
Lisa C.,Triple Motive Marketing Aurora 4,triplemotive.net,https://www.yelp.com/biz/triple-motive-marketing-aurora-4?osq=marketing&override_cta=Request+a+consultation,(520) 307-8229,5.0,1,"['Marketing', 'Graphic Design', 'Web Design']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
Janna G.,Subsilio Consulting Denver,subsilioconsulting.com,https://www.yelp.com/biz/subsilio-consulting-denver?osq=marketing&override_cta=Request+a+consultation,(720) 336-4737,5.0,7,['Marketing'],"User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
,Wit Digital Wheat Ridge,witdelivers.com,https://www.yelp.com/biz/wit-digital-wheat-ridge?osq=marketing&override_cta=Request+a+consultation,(720) 408-0080,5.0,1,"['Web Design', 'Marketing']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
Cynthia O.,Yellowdog Denver 2,yellowdogdenver.com,https://www.yelp.com/biz/yellowdog-denver-2?osq=marketing&override_cta=Request+a+consultation,(303) 765-2000,4.6,48,"['Printing Services', 'Marketing', 'Graphic Design']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 1 star rating, Review: None
User: None, Location: None, Date: None, Rating: 1 star rating, Review: None
User: None, Location: None, Date: None, Rating: 2 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
,Ask Nona Aurora,asknonallc.com,https://www.yelp.com/biz/ask-nona-aurora?osq=marketing&override_cta=Request+a+consultation,(303) 350-0252,5.0,1,"['Business Consulting', 'Marketing', 'Graphic Design']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
Hieu Pham H.,Gtg Marketing Denver 2,gtgplus.com,https://www.yelp.com/biz/gtg-marketing-denver-2?osq=marketing&override_cta=Request+a+consultation,(720) 842-7984,5.0,14,"['Graphic Design', 'Web Design', 'Printing Services']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
Kokeb E.,Expert Societies Digital Marketing Aurora,expertsocieties.com,https://www.yelp.com/biz/expert-societies-digital-marketing-aurora?osq=marketing&override_cta=Request+a+consultation,(303) 353-1911,5.0,1,"['Web Design', 'Marketing', 'Advertising']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
Yosuke C.,Digital Mind Meld Denver 3,digitalmindmeld.com,https://www.yelp.com/biz/digital-mind-meld-denver-3?osq=marketing&override_cta=Request+a+consultation,(321) 333-5734,5.0,1,"['Marketing', 'Web Design']","User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
Joanna J.,E2 Business Gifts Denver,e2businessgifts.com,https://www.yelp.com/biz/e2-business-gifts-denver?osq=marketing&override_cta=Request+a+consultation,(303) 522-3686,5.0,3,['Advertising'],"User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None
User: None, Location: None, Date: None, Rating: 5 star rating, Review: None"
